Date,Close,Trends,Score,Number
2017/1/1,998.325012,14.0,0.884917842,256
2017/1/2,1021.75,27.0,1.018705788,351
2017/1/3,1043.839966,24.0,0.900894029,490
2017/1/4,1154.72998,26.0,0.863922354,336
2017/1/5,1013.380005,32.0,0.254463128,408
2017/1/6,902.200989,31.0,0.298452249,403
2017/1/7,908.585022,24.0,0.613505338,455
2017/1/8,911.198975,21.0,0.897759628,432
2017/1/9,902.828003,20.0,1.036990854,413
2017/1/10,907.679016,18.0,0.892749118,422
2017/1/11,777.757019,22.0,0.683567094,449
2017/1/12,804.833984,22.0,0.830502855,446
2017/1/13,823.984009,19.0,0.475576231,370
2017/1/14,818.411987,17.0,0.677395906,288
2017/1/15,821.797974,16.0,0.587351806,251
2017/1/16,831.533997,16.0,0.833764849,487
2017/1/17,907.937988,17.0,0.131397215,291
2017/1/18,886.617981,18.0,0.554503947,305
2017/1/19,899.072998,16.0,0.620900751,360
2017/1/20,895.026001,14.0,0.797924938,368
2017/1/21,921.789001,15.0,1.000606297,303
2017/1/22,924.672974,15.0,0.663899418,395
2017/1/23,921.012024,14.0,0.84235419,356
2017/1/24,892.687012,15.0,0.633883453,396
2017/1/25,901.541992,15.0,0.428094404,392
2017/1/26,917.585999,14.0,0.934598326,560
2017/1/27,919.75,12.0,0.670336335,313
2017/1/28,921.590027,13.0,0.539504593,197
2017/1/29,919.495972,14.0,0.575802288,265
2017/1/30,920.382019,15.0,0.823538326,356
2017/1/31,970.403015,15.0,0.817000961,361
2017/2/1,989.02301,16.0,0.956632035,372
2017/2/2,1011.799988,16.0,0.802278222,442
2017/2/3,1029.910034,18.0,0.519314672,423
2017/2/4,1042.900024,15.0,0.518336734,355
2017/2/5,1027.339966,14.0,0.361621473,329
2017/2/6,1038.150024,15.0,-0.013103662,354
2017/2/7,1061.349976,16.0,0.765375011,417
2017/2/8,1063.069946,17.0,0.486957636,447
2017/2/9,994.382996,19.0,0.077906285,391
2017/2/10,988.674011,17.0,0.530186977,468
2017/2/11,1004.450012,16.0,0.4106173,266
2017/2/12,999.18103,13.0,1.029358274,228
2017/2/13,990.642029,16.0,0.345202452,377
2017/2/14,1004.549988,15.0,1.391780108,211
2017/2/15,1007.47998,14.0,0.659624506,281
2017/2/16,1027.439941,15.0,0.973680542,342
2017/2/17,1046.209961,17.0,0.958541566,133
2017/2/18,1054.420044,16.0,0.630325431,358
2017/2/19,1047.869995,13.0,0.578781052,238
2017/2/20,1079.97998,17.0,0.851795513,347
2017/2/21,1115.300049,17.0,0.625541918,399
2017/2/22,1117.439941,18.0,-0.072998452,462
2017/2/23,1166.719971,19.0,0.714848257,409
2017/2/24,1173.680054,23.0,0.738894536,643
2017/2/25,1143.839966,20.0,0.162163312,327
2017/2/26,1165.199951,15.0,0.596850737,337
2017/2/27,1179.969971,17.0,0.797288153,424
2017/2/28,1179.969971,19.0,0.84669273,330
2017/3/1,1222.5,19.0,1.051551414,448
2017/3/2,1251.01001,22.0,0.454682209,427
2017/3/3,1274.98999,31.0,0.559073614,429
2017/3/4,1255.150024,23.0,0.621018672,437
2017/3/5,1267.119995,20.0,0.410819369,250
2017/3/6,1272.829956,22.0,0.747423006,575
2017/3/7,1223.540039,22.0,0.752045643,488
2017/3/8,1150.0,24.0,0.350345945,428
2017/3/9,1188.48999,24.0,0.602280074,521
2017/3/10,1116.719971,32.0,0.847306838,607
2017/3/11,1175.829956,25.0,0.575825951,165
2017/3/12,1221.380005,20.0,-0.15878187,217
2017/3/13,1231.920044,20.0,0.758318989,495
2017/3/14,1240.0,19.0,0.506506878,336
2017/3/15,1249.609985,20.0,0.402792305,552
2017/3/16,1187.810059,20.0,0.850313357,449
2017/3/17,1100.22998,20.0,0.424850873,540
2017/3/18,973.817993,23.0,0.544693665,512
2017/3/19,1036.73999,22.0,1.025356969,547
2017/3/20,1054.22998,20.0,0.513703727,563
2017/3/21,1120.540039,21.0,0.621732506,574
2017/3/22,1049.140015,21.0,0.465835472,536
2017/3/23,1038.589966,20.0,0.572620091,302
2017/3/24,937.52002,21.0,0.434125173,557
2017/3/25,972.778992,21.0,0.231384165,578
2017/3/26,966.724976,18.0,0.423688491,403
2017/3/27,1045.77002,18.0,0.92273143,447
2017/3/28,1047.150024,18.0,0.585607714,384
2017/3/29,1039.969971,19.0,0.548622457,329
2017/3/30,1026.430054,18.0,0.876381189,336
2017/3/31,1071.790039,16.0,0.763097675,341
2017/4/1,1080.5,16.0,0.249247025,324
2017/4/2,1102.170044,15.0,0.390086657,280
2017/4/3,1143.810059,18.0,0.653502197,353
2017/4/4,1133.25,19.0,0.631111477,440
2017/4/5,1124.780029,18.0,0.73726339,321
2017/4/6,1182.680054,18.0,0.451895038,442
2017/4/7,1176.900024,17.0,0.298236884,326
2017/4/8,1175.949951,16.0,0.599784089,286
2017/4/9,1187.869995,17.0,0.126415122,257
2017/4/10,1187.130005,17.0,0.247249525,276
2017/4/11,1205.01001,17.0,0.091221276,291
2017/4/12,1200.369995,18.0,0.869793338,263
2017/4/13,1169.280029,18.0,0.38309521,344
2017/4/14,1167.540039,16.0,0.756609954,352
2017/4/15,1172.52002,15.0,0.763544107,287
